company,state,industry,website,email,demo_url,date_sent,reply_status,opt_out_status,follow_up_status,revenue_recovery_pilot_offered
Whelchel Landscape & Construction,NM,Landscaping and construction,https://nmlandscaping.com/,info@nmlandscaping.com,https://aridon-v02.vercel.app/daily-demos/whelchel-landscape-a13,2026-08-13,no reply,active,not due,yes
Premier Contractors Inc,NM,Construction and remodeling,https://www.premiercontractorsnm.com/,info@premiercontractorsnm.com,https://aridon-v02.vercel.app/daily-demos/premier-contractors-nm-a13,2026-08-13,no reply,active,not due,yes
Poulin Design Center,NM,Remodeling and design-build,https://poulindesigncenter.com/,info@PoulinRemodeling.com,https://aridon-v02.vercel.app/daily-demos/poulin-design-a13,2026-08-13,no reply,active,not due,yes
Rakso Construction,NM,General contracting and remodeling,https://raksoconstruction.com/,info@raksoconstruction.com,https://aridon-v02.vercel.app/daily-demos/rakso-construction-a13,2026-08-13,no reply,active,not due,yes
Las Cruces Builder,NM,Custom homes and remodeling,https://lascrucesbuilder.com/,info@lascrucesbuilder.com,https://aridon-v02.vercel.app/daily-demos/las-cruces-builder-a13,2026-08-13,no reply,active,not due,yes
Heartwood Construction,NM,Custom residential construction,https://www.hwcbuild.com/,Info@hwcbuild.com,https://aridon-v02.vercel.app/daily-demos/heartwood-construction-a13,2026-08-13,no reply,active,not due,yes
Rojas Auto Solutions,NM,Auto repair and maintenance,https://www.rojasautosolutions.com/,Info@rojasautosolutions.com,https://aridon-v02.vercel.app/daily-demos/rojas-auto-a13,2026-08-13,no reply,active,not due,yes
EcoScapes of Santa Fe,NM,Landscape design-build,https://ecoscapesnm.com/,info@ecoscapesnm.com,https://aridon-v02.vercel.app/daily-demos/ecoscapes-sf-a13,2026-08-13,no reply,active,not due,yes
Gold Canyon Remodeling,AZ,Home remodeling,https://www.goldcanyonremodeling.com/,info@goldcanyonremodeling.com,https://aridon-v02.vercel.app/daily-demos/gold-canyon-remodeling-a13,2026-08-13,no reply,active,not due,yes
Chavez Construction LLC,AZ,Construction and remodeling,https://www.chavezbuild.com/,info@chavezbuild.com,https://aridon-v02.vercel.app/daily-demos/chavez-construction-az-a13,2026-08-13,no reply,active,not due,yes
Alpha Remodel LLC,AZ,General contracting and remodeling,https://www.alpharemodelaz.com/,info@alpharemodelaz.com,https://aridon-v02.vercel.app/daily-demos/alpha-remodel-az-a13,2026-08-13,no reply,active,not due,yes
Custom Design Build & Remodel,AZ,Remodeling and home services,https://customdesignbuildremodel.com/,info@customdesignbuildremodel.com,https://aridon-v02.vercel.app/daily-demos/custom-design-build-az-a13,2026-08-13,no reply,active,not due,yes
Lafarga-Franz Construction,AZ,General contracting and remodeling,https://thetucsoncontractor.com/,info@thetucsoncontractor.com,https://aridon-v02.vercel.app/daily-demos/lafarga-franz-a13,2026-08-13,no reply,active,not due,yes
Unique Electrical Contractors,AZ,Electrical contracting,https://www.uniqueelectrical.com/,info@uniqueelectrical.com,https://aridon-v02.vercel.app/daily-demos/unique-electrical-a13,2026-08-13,no reply,active,not due,yes
Halo Electric LLC,AZ,Electrical contracting,https://haloelectricaz.com/,info@HaloElectricAz.com,https://aridon-v02.vercel.app/daily-demos/halo-electric-a13,2026-08-13,no reply,active,not due,yes
Reliable Air LLC,AZ,HVAC,https://reliableairaz.com/,info@reliableairaz.com,https://aridon-v02.vercel.app/daily-demos/reliable-air-a13,2026-08-13,no reply,active,not due,yes
