company,state,industry,website,email,demo_url,date_sent,reply_status,opt_out_status,follow_up_status,revenue_recovery_pilot_offered
All Green Landscaping LLC,NM,Landscaping,https://www.allgreennmllc.com/,sales@allgreennmllc.com,https://aridon-v02.vercel.app/daily-demos/all-green-landscaping-a15,2026-08-15,no reply,no,none,yes
Sotelo JM Construction LLC,NM,Construction/remodeling,https://jmconstructionnm.com/,sotelojose22@gmail.com,https://aridon-v02.vercel.app/daily-demos/sotelo-jm-construction-a15,2026-08-15,no reply,no,none,yes
JR General Remodeling & Outdoor Maintenance,NM,Remodeling/property services,https://www.jrgeneralremodeling.com/,jrgeneralremodel@gmail.com,https://aridon-v02.vercel.app/daily-demos/jr-general-remodeling-a15,2026-08-15,no reply,no,none,yes
Dreamscape NM,NM,Landscaping/outdoor construction,https://dreamscapenm.com/,support@dreamscapenm.com,https://aridon-v02.vercel.app/daily-demos/dreamscape-nm-a15,2026-08-15,no reply,no,none,yes
Back Breakers Landscaping & Maintenance LLC,NM,Landscaping,https://back-breakers.com/,office@back-breakers.com,https://aridon-v02.vercel.app/daily-demos/back-breakers-a15,2026-08-15,no reply,no,none,yes
All Roofing Enterprises LLC,NM,Roofing,https://www.allroofingnm.com/,Ferbie@allroofingnm.com,https://aridon-v02.vercel.app/daily-demos/all-roofing-enterprises-a15,2026-08-15,no reply,no,none,yes
Five Star Electric,NM,Electrical,https://www.fivestarelectricnm.com/,fivestarelectricnm@gmail.com,https://aridon-v02.vercel.app/daily-demos/five-star-electric-a15,2026-08-15,no reply,no,none,yes
Defined Electric,NM,Electrical,https://definedelectric.com/,defined.electric@gmail.com,https://aridon-v02.vercel.app/daily-demos/defined-electric-a15,2026-08-15,no reply,no,none,yes
Signature Landscaping Services LLC,AZ,Landscaping,https://signaturelandscapingservices.com/,SignatureLandscapingServicessls@yahoo.com,https://aridon-v02.vercel.app/daily-demos/signature-landscaping-a15,2026-08-15,no reply,no,none,yes
Phoenix AZ Landscaping,AZ,Landscaping,https://phoenixazlandscaping.com/,hi@phoenixazlandscaping.com,https://aridon-v02.vercel.app/daily-demos/phoenix-az-landscaping-a15,2026-08-15,no reply,no,none,yes
Tucson Plumbing,AZ,Plumbing,https://tucsonplumbing.com/,dispatcher@tucsonplumbing.com,https://aridon-v02.vercel.app/daily-demos/tucson-plumbing-a15,2026-08-15,no reply,no,none,yes
Square One Construction,AZ,Remodeling/construction,https://www.squareonearizona.com/,hello@squareonearizona.com,https://aridon-v02.vercel.app/daily-demos/square-one-construction-a15,2026-08-15,no reply,no,none,yes
RUCO Electric,AZ,Electrical,https://www.rucoelectric.com/,Jeff@rucoelectric.com,https://aridon-v02.vercel.app/daily-demos/ruco-electric-a15,2026-08-15,no reply,no,none,yes
Home Nice Remodeling,AZ,Remodeling/construction,https://www.homeniceremodeling.com/,info@homeniceremodeling.com,https://aridon-v02.vercel.app/daily-demos/home-nice-remodeling-a15,2026-08-15,no reply,no,none,yes
Prestige Electrical Contractor LLC,AZ,Electrical/HVAC,https://www.prestigeelectricalcontractor.com/,info@prestigeelectricalcontractor.com,https://aridon-v02.vercel.app/daily-demos/prestige-electrical-a15,2026-08-15,no reply,no,none,yes
Rattler Electric LLC,AZ,Electrical,https://rattlerelectricllc.com/,contact@rattlerelectricllc.com,https://aridon-v02.vercel.app/daily-demos/rattler-electric-a15,2026-08-15,no reply,no,none,yes
